"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g049210.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g049220.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500186.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500187.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500188.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500189.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160390.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g021660.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500190.1.1"	0.77997546330619	2.97854198885513	3.95881654177614	0.752381919551847	0.45182141645747	1	0
"mRNA:Solyc00g500191.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500192.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500193.1.1"	3.24214924342651	-5.26013691707972	2.01525452079705	-2.61016008786785	0.00904998604080007	0.0533172097240434	0.429556466338979
"mRNA:Solyc00g160420.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500194.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500195.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500196.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500197.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500198.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500199.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500200.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500201.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500202.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500203.1.1"	0	NA	NA	NA	NA	NA	NA
