	stat_Pinfestans	stat_Cfulvum	stat_PSTVd_S23	stat_PSTVd_M	stat_Bcinerea	stat_Mincognita_7dpi	stat_Mincognita_14dpi
mRNA:Solyc00g500159.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500161.1.1	0.0	0.0	-0.402666624843004	-0.262729567925069	0.0	0.0	0.0
mRNA:Solyc00g500162.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500163.1.1	0.347435882027443	0.0	0.167182722545129	0.860008136116698	0.0	0.0	0.0
mRNA:Solyc00g160360.1.1	0.0	0.0	0.0	0.0270676967403701	0.0	0.0	0.0
mRNA:Solyc00g500164.1.1	1.64801186660662	0.41002400004081	-2.38037413526794	1.27082094794961	-0.855462188705958	4.15956169980766	2.04450375939217
mRNA:Solyc00g500165.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g112190.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160030.1.1	0.0	0.18046922735863	0.188454921741621	1.19279725353713	0.0	0.0	0.0
mRNA:Solyc00g500166.1.1	0.0	0.0	1.36808134406432	1.87333950192208	0.0	0.0	0.0
mRNA:Solyc00g500167.1.1	0.0	0.0	-0.632119492959652	-0.329177864001772	0.0	0.0	0.0
mRNA:Solyc00g230080.1.1	0.0	0.0	-0.134628496798609	-0.325411818340475	0.0	0.0	0.0
mRNA:Solyc00g316530.1.1	0.0	0.0	-1.03258747273781	-0.966387888925541	0.0	0.0	0.0
mRNA:Solyc00g069880.2.1	0.0	0.0	0.433692560496863	0.2655278054552	0.0	0.0	0.0
mRNA:Solyc00g500168.1.1	0.0	0.0	1.02292585578526	0.766655474386791	0.0	0.0	0.0
mRNA:Solyc00g013100.1.1	0.0	0.0	-0.410961033796985	-0.31489889561301	0.0	0.0	0.0
mRNA:Solyc00g013110.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g126010.1.1	0.0	0.0	-0.963277036618275	-0.994794211426607	0.0	0.0	0.0
mRNA:Solyc00g126000.1.1	0.0	0.0	-0.0686855001705258	0.02706769674037	0.0	0.0	0.0
mRNA:Solyc00g125990.1.1	0.0	0.0	-0.746726148834872	-0.268783122034328	0.0	0.0	0.0
mRNA:Solyc00g125980.1.1	0.0	0.0	0.436936093987954	0.230076234263221	0.0	0.0	0.0
mRNA:Solyc00g244300.1.1	0.0	0.0	-0.831096519247984	-0.639630358817685	0.0	0.0	0.0
mRNA:Solyc00g244290.1.1	0.0	0.0	0.571350328510555	1.22443744148224	0.0	0.0	0.0
mRNA:Solyc00g244280.1.1	0.0	0.0	-0.187391917476541	-0.32771343262844	0.0	0.0	0.0
mRNA:Solyc00g160370.1.1	0.0	0.0	-1.05129287534643	0.150252675630534	0.0	0.0	0.0
mRNA:Solyc00g500169.1.1	0.0	0.0	1.49001326103372	1.26660572288868	0.0	0.0	1.14468932774851
mRNA:Solyc00g500170.1.1	0.0	0.0	0.793501038791346	0.0014149568019267	0.0611872584305854	0.0	-0.0454822810464555
mRNA:Solyc00g160380.1.1	0.0	0.0	1.38952634455483	2.56708340411693	0.0	0.0	0.0
mRNA:Solyc00g013170.1.1	0.0	0.0	-0.772056521779349	-0.340698460993089	0.0	0.0	0.0
mRNA:Solyc00g013180.1.1	0.0	0.180469227358631	-0.60465145021546	-0.257675391883695	0.0	0.0	0.0
mRNA:Solyc00g160180.1.1	0.0	0.0	0.550868628436227	0.271351738793872	0.0	0.0	0.0
mRNA:Solyc00g500171.1.1	0.0	0.180469227358631	0.686174946784233	0.278651293926283	0.0	0.0	0.0
mRNA:Solyc00g500172.1.1	0.0	0.0	0.272971543844222	0.394172319937252	0.0	0.0	0.0
mRNA:Solyc00g320430.1.1	0.0	0.0	-0.402987026513217	1.42462442384137	0.0	0.0	0.0
mRNA:Solyc00g500173.1.1	0.0	0.0	0.620325384223575	1.18637769779356	0.0	0.0	0.0
mRNA:Solyc00g019730.2.1	0.0	0.0	-0.749138154846169	0.534432578893586	0.0	0.0	0.0
mRNA:Solyc00g500174.1.1	0.0	0.0	-0.378764916316413	-0.470771120394605	0.0	0.0	-0.0454822810464555
mRNA:Solyc00g500176.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500177.1.1	0.0	0.0	-0.0686855001705254	0.0	0.0	0.0	0.0
mRNA:Solyc00g500178.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500179.1.1	0.0	0.0	0.062644073646817	0.926956398274888	0.0	0.183448268636685	0.0
mRNA:Solyc00g500180.1.1	0.0	0.0	-0.594741447246849	0.0963998963836015	0.0	0.0	0.0
mRNA:Solyc00g500181.1.1	0.0	0.0	-0.0686855001705257	0.0	0.0	0.0	0.0
mRNA:Solyc00g160410.1.1	0.0	0.90673629644508	1.44118886007842	0.531873834044489	0.0	0.0	0.0
mRNA:Solyc00g118690.1.1	0.246531715772821	4.76722852456688	-3.72816804042277	2.1448157887426	-1.11794235954068	-3.94986888105731	2.65948562878319
mRNA:Solyc00g160400.1.1	0.193132157377475	1.58690923327815	0.42267956362754	1.84166571207503	0.0611872584305854	0.0	0.0
mRNA:Solyc00g023590.2.1	0.63557422614374	4.45750442686257	0.959485453816817	0.310249529961184	0.437903258024554	0.0	0.0
mRNA:Solyc00g023580.1.1	0.0	1.69669956971036	-0.310152752575836	-1.10647472050403	0.303474261878627	0.0	-0.163333135291389
mRNA:Solyc00g023570.1.1	0.528082097136712	3.15692345219227	0.142950822759819	-0.0348663933730276	0.180220935755671	0.0	0.0
mRNA:Solyc00g014860.1.1	-0.269777517819105	-0.0790805726014538	0.466445555967826	0.884870854020031	0.0	-0.287955700248052	0.0
mRNA:Solyc00g014850.1.1	1.53688769793619	1.78933862614871	4.40971039634015	3.72793082080916	-0.578172173399409	-1.12566231331886	-3.18343554938499
mRNA:Solyc00g500183.1.1	4.32875957287724	1.72653053558752	3.5021047458211	3.69758820953324	2.73494143472535	7.06518575465848	-2.80047217623374
mRNA:Solyc00g500184.1.1	1.59068002236737	2.20886104676556	3.03526135497049	1.60064978533647	0.648876924055728	-2.81708587903681	-0.780019476112955
mRNA:Solyc00g500185.1.1	2.50049951194664	0.310840046736803	5.26323137329586	5.56123710595256	-0.20622460098683	-2.51768555189781	3.55161356286506
mRNA:Solyc00g014810.1.1	0.347435882027443	0.799297872056954	-0.431891653723935	0.654985851932156	0.0	0.0	0.0
mRNA:Solyc00g014800.1.1	0.347435882027443	0.739807002044223	0.517741727715424	-0.35478100113223	0.0	0.0	-0.949263550390203
