	log2FoldChange_Pinfestans	log2FoldChange_Cfulvum	log2FoldChange_PSTVd_S23	log2FoldChange_PSTVd_M	log2FoldChange_Bcinerea	log2FoldChange_Mincognita_7dpi	log2FoldChange_Mincognita_14dpi
mRNA:Solyc00g500108.1.1	0.0	0.0	-0.948294713055011	-1.12654892543723	0.0	0.0	0.0
mRNA:Solyc00g281110.1.1	0.0	0.0	-1.24934711740265	-0.951635800775922	0.0	0.0	0.0
mRNA:Solyc00g500109.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500110.1.1	0.0	0.0	-1.24934711740265	-0.470245674733658	0.0	0.0	0.0
mRNA:Solyc00g500111.1.1	0.0	0.0	0.0036260052178176	0.0294972084481642	0.0	0.0	0.0
mRNA:Solyc00g500112.1.1	0.0	1.65477406416226	-0.258559942559756	-0.487723090158117	0.0	0.0	0.0
mRNA:Solyc00g142160.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g142170.2.1	0.0	0.0	-1.23488781578921	-0.498042050934324	0.0	0.0	0.0
mRNA:Solyc00g500113.1.1	0.0	0.0	1.34299594943653	0.632507657636217	0.0	0.0	0.0
mRNA:Solyc00g500114.1.1	0.0	0.0	-0.964152123188152	-0.16182269874745	0.0	0.0	0.582145897807391
mRNA:Solyc00g500116.1.1	0.0	0.0	-0.842128227041569	0.6801894572709	0.0	0.0	0.0
mRNA:Solyc00g500118.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500119.1.1	0.0	0.0	-0.124169604029242	0.81691964938389	0.0	0.0	0.0
mRNA:Solyc00g500120.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500121.1.1	0.0	0.0	-0.213754555920079	0.0	0.0	0.0	0.0
mRNA:Solyc00g015600.1.1	-1.72264666166108	0.0	0.0	0.0	0.0	0.561421872783967	0.0
mRNA:Solyc00g500122.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160650.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
