gene.name	pathway.name
Solyc02g091970	Biosynthesis of amino acids
Solyc10g083970	Biosynthesis of amino acids
Solyc11g065760	Nucleotide metabolism
Solyc10g079500	Nucleotide metabolism
Solyc03g111200	Nucleotide metabolism
Solyc07g006530	Nucleotide metabolism
Solyc08g016010	Nucleotide metabolism
Solyc06g054240	Nucleotide metabolism
Solyc10g005880	Nucleotide metabolism
Solyc02g081980	Nucleotide metabolism
Solyc05g010340	Nucleotide metabolism
Solyc01g079650	Nucleotide metabolism
Solyc02g093990	Nucleotide metabolism
Solyc07g019440	Biosynthesis of nucleotide sugars
Solyc05g012070	Biosynthesis of nucleotide sugars
Solyc11g072690	Biosynthesis of nucleotide sugars
Solyc04g045340	Biosynthesis of nucleotide sugars
Solyc03g118270	Biosynthesis of nucleotide sugars
Solyc05g050990	Biosynthesis of nucleotide sugars
Solyc11g065220	Biosynthesis of nucleotide sugars
Solyc09g009780	Biosynthesis of nucleotide sugars
Solyc08g082440	Biosynthesis of nucleotide sugars
Solyc03g083550	Biosynthesis of nucleotide sugars
Solyc07g062130	Biosynthesis of nucleotide sugars
Solyc02g091830	Biosynthesis of nucleotide sugars
Solyc10g050850	Biosynthesis of nucleotide sugars
Solyc10g018260	Biosynthesis of nucleotide sugars
Solyc01g097340	Biosynthesis of nucleotide sugars
Solyc01g105560	Biosynthesis of cofactors
Solyc11g006350	Biosynthesis of cofactors
Solyc11g012410	Biosynthesis of cofactors
Solyc01g008290	Biosynthesis of cofactors
Solyc11g007000	Biosynthesis of cofactors
Solyc03g111200	Biosynthesis of cofactors
Solyc05g050990	Biosynthesis of cofactors
Solyc05g012150	Biosynthesis of cofactors
Solyc06g006080	Biosynthesis of cofactors
Solyc02g093290	Biosynthesis of cofactors
Solyc07g049570	Biosynthesis of cofactors
Solyc01g008560	Biosynthesis of cofactors
Solyc01g094500	Biosynthesis of cofactors
Solyc07g017770	Biosynthesis of cofactors
Solyc05g012090	Biosynthesis of cofactors
Solyc07g006530	Biosynthesis of cofactors
Solyc06g060250	Biosynthesis of cofactors
Solyc07g053270	Biosynthesis of cofactors
Solyc10g005110	Biosynthesis of cofactors
Solyc09g061680	Biosynthesis of cofactors
Solyc08g015660	Biosynthesis of cofactors
Solyc06g076880	Biosynthesis of cofactors
Solyc06g051900	Biosynthesis of cofactors
Solyc02g091510	Biosynthesis of cofactors
Solyc10g078740	Biosynthesis of cofactors
Solyc03g120090	Biosynthesis of cofactors
Solyc03g083550	Biosynthesis of cofactors
Solyc01g104000	Biosynthesis of cofactors
Solyc04g056540	Biosynthesis of cofactors
Solyc01g079650	Biosynthesis of cofactors
Solyc02g084660	Biosynthesis of cofactors
Solyc05g005180	Biosynthesis of cofactors
Solyc03g112060	Biosynthesis of cofactors
Solyc02g093990	Biosynthesis of cofactors
Solyc02g091970	Biosynthesis of cofactors
Solyc10g006650	Biosynthesis of cofactors
Solyc10g018260	Biosynthesis of cofactors
Solyc10g083970	Biosynthesis of cofactors
Solyc11g068830	Biosynthesis of cofactors
Solyc01g102410	Biosynthesis of cofactors
Solyc01g097340	Biosynthesis of cofactors
Solyc10g050890	Nitrogen cycle
Solyc01g108630	Nitrogen cycle
Solyc09g082860	Sulfur cycle
Solyc02g032860	Sulfur cycle
Solyc07g065470	Sulfur cycle
Solyc09g009020	Glycolysis / Gluconeogenesis
Solyc12g095880	Glycolysis / Gluconeogenesis
Solyc04g045340	Glycolysis / Gluconeogenesis
Solyc12g099360	Glycolysis / Gluconeogenesis
Solyc07g017900	Glycolysis / Gluconeogenesis
Solyc08g077180	Glycolysis / Gluconeogenesis
Solyc06g060250	Glycolysis / Gluconeogenesis
Solyc12g056530	Glycolysis / Gluconeogenesis
Solyc03g007810	Glycolysis / Gluconeogenesis
Solyc09g082970	Glycolysis / Gluconeogenesis
Solyc11g007720	Glycolysis / Gluconeogenesis
Solyc11g065220	Glycolysis / Gluconeogenesis
Solyc05g024160	Glycolysis / Gluconeogenesis
Solyc03g113030	Glycolysis / Gluconeogenesis
Solyc02g091830	Glycolysis / Gluconeogenesis
Solyc09g008840	Glycolysis / Gluconeogenesis
Solyc02g084660	Glycolysis / Gluconeogenesis
