TF	Target_Gene
Solyc01g102300	Solyc03g120170
Solyc01g102300	Solyc03g119520
Solyc01g102300	Solyc03g118620
Solyc01g102300	Solyc03g114160
Solyc01g102300	Solyc03g025340
Solyc01g102300	Solyc02g093220
Solyc01g102300	Solyc02g093190
Solyc01g102300	Solyc02g092790
Solyc01g102300	Solyc02g092670
Solyc01g102300	Solyc02g091010
Solyc01g102300	Solyc02g090900
Solyc01g102300	Solyc02g086300
Solyc01g102300	Solyc02g081340
Solyc01g102300	Solyc02g078810
Solyc01g102300	Solyc02g078460
Solyc01g102300	Solyc02g063190
Solyc01g102300	Solyc01g110550
Solyc01g102300	Solyc01g109870
Solyc01g102300	Solyc01g108400
Solyc01g102300	Solyc01g106280
Solyc01g102300	Solyc01g103170
Solyc01g102300	Solyc01g100980
Solyc01g102300	Solyc01g099660
Solyc01g102300	Solyc01g096510
Solyc01g102300	Solyc01g094720
Solyc01g102300	Solyc01g080160
Solyc01g103050	Solyc11g065040
Solyc01g103050	Solyc10g051270
Solyc01g103050	Solyc08g079790
Solyc01g103050	Solyc08g075670
Solyc01g103050	Solyc07g008190
Solyc01g103050	Solyc06g066030
Solyc01g103050	Solyc03g078650
Solyc01g103050	Solyc03g008010
Solyc01g103050	Solyc02g093130
Solyc01g103050	Solyc02g092000
Solyc01g103050	Solyc02g090900
Solyc01g104760	Solyc11g017200
Solyc01g104760	Solyc11g016940
Solyc01g104760	Solyc11g012470
Solyc01g104760	Solyc11g011490
Solyc01g104760	Solyc11g008550
Solyc01g104760	Solyc10g024320
Solyc01g104760	Solyc09g091910
Solyc01g104760	Solyc08g078810
Solyc01g104760	Solyc08g066590
Solyc01g104760	Solyc06g007610
Solyc01g104760	Solyc05g026240
Solyc01g104760	Solyc05g013780
Solyc01g104760	Solyc05g012400
Solyc01g104760	Solyc05g011940
Solyc01g104760	Solyc05g008450
Solyc01g104760	Solyc04g012180
Solyc01g104760	Solyc03g117730
Solyc01g104760	Solyc01g098540
Solyc01g104760	Solyc01g007250
Solyc01g108080	Solyc09g064820
Solyc01g108080	Solyc08g080150
Solyc01g108080	Solyc05g018210
Solyc01g108080	Solyc04g011610
Solyc01g108080	Solyc03g114160
Solyc01g108080	Solyc02g089330
Solyc01g108080	Solyc02g079850
Solyc01g108080	Solyc02g077840
Solyc01g108080	Solyc01g105980
Solyc01g108080	Solyc01g095460
Solyc01g108080	Solyc01g095200
Solyc01g108080	Solyc01g088240
Solyc02g062950	Solyc12g098850
Solyc02g062950	Solyc12g006120
Solyc02g062950	Solyc11g068760
Solyc02g062950	Solyc11g066370
Solyc02g062950	Solyc11g056680
Solyc02g062950	Solyc11g011970
Solyc02g062950	Solyc11g010170
Solyc02g062950	Solyc10g085680
Solyc02g062950	Solyc10g081040
Solyc02g062950	Solyc10g079880
Solyc02g062950	Solyc10g055450
Solyc02g062950	Solyc10g037900
Solyc02g062950	Solyc09g092130
Solyc02g062950	Solyc09g091240
Solyc02g062950	Solyc09g065630
Solyc02g062950	Solyc09g018790
Solyc02g062950	Solyc09g011160
Solyc02g062950	Solyc09g007990
Solyc02g062950	Solyc09g005120
Solyc02g062950	Solyc08g082590
Solyc02g062950	Solyc08g082120
Solyc02g062950	Solyc08g080690
Solyc02g062950	Solyc08g076690
Solyc02g062950	Solyc08g074710
Solyc02g062950	Solyc08g061980
Solyc02g062950	Solyc07g066350
Solyc02g062950	Solyc07g065880
Solyc02g062950	Solyc07g053900
Solyc02g062950	Solyc07g053140
Solyc02g062950	Solyc07g041210
Solyc02g062950	Solyc07g008880
Solyc02g062950	Solyc06g083680
Solyc02g062950	Solyc06g076390
Solyc02g062950	Solyc06g076140
Solyc02g062950	Solyc06g075650
Solyc02g062950	Solyc06g072050
Solyc02g062950	Solyc06g071480
Solyc02g062950	Solyc06g069600
Solyc02g062950	Solyc06g068140
Solyc02g062950	Solyc06g066090
Solyc02g062950	Solyc06g060310
Solyc02g062950	Solyc06g053830
Solyc02g062950	Solyc06g035690
Solyc02g062950	Solyc05g052420
Solyc02g062950	Solyc05g051380
Solyc02g062950	Solyc05g009150
Solyc02g062950	Solyc05g005080
Solyc02g062950	Solyc04g080820
Solyc02g062950	Solyc04g079690
Solyc02g062950	Solyc04g054890
Solyc02g062950	Solyc04g051690
Solyc02g062950	Solyc04g008230
Solyc02g062950	Solyc04g008090
Solyc02g062950	Solyc03g118670
Solyc02g062950	Solyc03g118620
Solyc02g062950	Solyc03g117680
Solyc02g062950	Solyc03g116750
Solyc02g062950	Solyc03g114160
Solyc02g062950	Solyc03g097980
Solyc02g062950	Solyc03g059360
Solyc02g062950	Solyc03g051770
Solyc02g062950	Solyc03g025340
Solyc02g062950	Solyc02g093590
Solyc02g062950	Solyc02g093190
Solyc02g062950	Solyc02g091010
Solyc02g062950	Solyc02g090890
Solyc02g062950	Solyc02g089990
Solyc02g062950	Solyc02g086300
Solyc02g062950	Solyc02g078810
Solyc02g062950	Solyc02g078460
Solyc02g062950	Solyc02g078160
Solyc02g062950	Solyc02g077770
Solyc02g062950	Solyc01g112060
Solyc02g062950	Solyc01g109870
Solyc02g062950	Solyc01g109060
Solyc02g062950	Solyc01g106280
Solyc02g062950	Solyc01g105410
Solyc02g062950	Solyc01g103170
Solyc02g062950	Solyc01g095670
Solyc02g062950	Solyc01g095460
Solyc02g062950	Solyc01g094750
Solyc02g062950	Solyc01g094720
Solyc02g062950	Solyc01g080160
Solyc02g062950	Solyc01g067890
Solyc02g062950	Solyc01g005640
Solyc02g077840	Solyc12g099360
Solyc02g077840	Solyc12g099280
Solyc02g077840	Solyc12g096590
Solyc02g077840	Solyc12g094510
Solyc02g077840	Solyc12g089100
Solyc02g077840	Solyc12g088290
Solyc02g077840	Solyc12g042900
Solyc02g077840	Solyc12g014290
Solyc02g077840	Solyc12g014210
Solyc02g077840	Solyc12g010900
Solyc02g077840	Solyc12g010790
Solyc02g077840	Solyc12g009610
Solyc02g077840	Solyc12g009120
Solyc02g077840	Solyc12g007200
Solyc02g077840	Solyc12g007130
Solyc02g077840	Solyc12g007110
Solyc02g077840	Solyc12g007060
Solyc02g077840	Solyc12g006220
Solyc02g077840	Solyc11g072820
Solyc02g077840	Solyc11g070030
Solyc02g077840	Solyc11g069090
Solyc02g077840	Solyc11g068900
Solyc02g077840	Solyc11g068830
Solyc02g077840	Solyc11g066730
